content,score,Label
"apl nya si ok, yang buat tertarik itu garansi barang sampai tujuan, tapi pada ahirnya di undur undur, sampai ga di butuhkan lagi barang nya krna telat, mestinya di batalkan saja kalau barang ga sampai di hari dan tanggal yang di tentukan.",5,1
"pengajuan pinjaman dari apk shopee gagal, jika ada org mengatas namakan akun dan memakai data saya, saya tidak BERTANGGUNG JAWAB! Terima kasih.",1,-1
"Gak ada angin gak ada hujan, akun d batasi. Sy gak bisa tarik saldo penjualan sy, sampai sekarang uang masih sangkut dstu. Ini sama saja kek sy d RAMPOK OLEH SHOPEE. APLIKASI PERAMPOK.",1,-1
"saya sangat suka belanja disini, hanya saja kurir SPX di daerah saya yang perlu di tatar krna selalu mencari² alasan untuk mengulur waktu setiap mengirim paket, sehingga paket sy selalu tertunda padahal saya sangat membutuhkannya. sengaja pakai alamat kantor spya berdekatan dg SPX, tapi malah yang paling lama di antar bahkan sampai 2 hari 😂😂😂 itupun di hari k 2 nanti sore baru di antar",3,0
"Terkadang estimasi hari apa. Dtgnya hari apa.. malahan ada pemberitahuan bahwa pembeli tidak ada ditempat. Iya kalo pesanan kita bukan barang untuk keperluan mendesak gamasalah... Tolong lebih diperhatikan lagi dan tolong perbarui lagi, cantumkan nomor tlf kurir agar kita bisa menghubungi",4,1
Shopee nya sih bagus dan sangat membantu tapi jasa kirim SPX itu yang menyusahkan dan selalu bikin emosi. Kalau pake jne jnt paling 3 hari sampai tp kalo pake SPX bisa satu bulan. Payah sih.,2,-1
"Dua kali Update App Shopee terakhir, HP jd berat. Padahal sudah selesai update, tapi setiap buka playstore, masih muncul loading mutar2.. tolong perbaiki",2,-1
Setelah di update. Di tampilan PESANAN SAYA kok malah agak membingungkan iya. Tolong pihak pengembang malah bagus seperti yang versi lama,4,1
"sekarang shopee udh lebih baik, ngga sering ngelag dan kembali sendiri setelah di update. saya sering sekali belanja di shopee ketimbang aplikasi serupa lain nya, karena selalu dapet gratis ongkir dan seler toko nya pun amanah, apa lagi kalo tanggal cantik, di live nya para penjual banyak banget diskon dan keuntungan lain nya✨ terimakasih shopee ❤️ ulasan baru: kenapa ngga bisa di update ya?",5,1
Sebenarnya bagus bgt Shopee ini sangat membantu.. Tapi akhir2 ini tiap buka Shopee sllu langsung masuk ke live org2 bikin berat dan susah bgt untuk buka produk. Tolong di perbaikilah. Terutama yg langsung masuk ke live orang gk banget lah,1,-1
"Maaf saya beri bintang 4 karena biasanya kurir memberi harga lebih kepada konsumen dari harga produk tersebut, contoh:kopi dengan harga 23.426 malah kurir memberi dengan harga lebih dari itu yaitu dengan harga 24.000,kan seharusnya paling gak kan 23.500 ,itu kan namanya korupsi walaupun sedikit , sedikit demi sedikit kan lama lama jadi bukit ,tolong untuk di perbaiki lagi ini demi kepuasan konsumen dalam berbelanja",4,1
"Belanja di shoope segalanya ada,mudah dan gk ribet2, bisa juga bayar nyicil pake shoope paylater gampang dan mudah prosesnya.dri harga yg murah meriah hingga yg mahal ada, tinggl nyesuaikn isi kantong kita☺. Kedepannya semoga makin jaya",5,1
"Belanja jadi lebih mudah tanpa ribet keluar rumah,,harga lebih murah apa Lagi jika ada voucher diskon,,cuman kadang yg jadi kendala di ongkir nya mahal",5,1
"Kecewa dengan pihak shoppee terutama pada pihak shoppee express karna pesanan saya untuk keperluan jualan sangat lama sampai ke tempat saya yang mengakibatkan pending dan pelanggan saya banyak yang komplain padahal ekspedisi lain seperti jnt dan anteraja selalu cepat. Paket reguler aja butuh waktu hampir 2 minggu baru sampai, sedangkan jnt dan anteraja cuman butuh paling engga 5 hari udah smpe, tolong di tingkatkan lagi. Karna ini sangat berdampak pada penjual lain",1,-1
"Ada caranya gak untuk menonaktifkan video pop-up, baik di beranda atau di halaman produk? Mengganggu banget. Edit: Saya tahu video itu bisa ditutup dengan klik tombol x, masalahnya tombolnya terlalu kecil, belasan kali klik baru berhasil tertutup, sebelumnya pasti malah kepencet yang lain terus.",2,-1
"Aplikasi pay laters nya tidak bisa digunakan, yg katanya ada gangguan sistem, Uda seminggu masak gak bisa, mohon diperbaiki ya🙏",3,0
Eh shopee balikin tampilan kayak yg dulu deh mending jd jelek gitu di menu pesanan saya yg kalau nglacak pesanan dikirim atau dikemas itu loh . paket uda dikirim ga keliatan gitu jadinya .,3,0
tempat belanja terlengkap dari harga yg trmurah dan yg mahal banget jg ada. sering2 kasih gratis ongkir dan potongan harga ya shopee. thanks,5,1
"Buka ecommerce lain berjam-jam lancar, tapi kalo buka shoppee dari dulu kurang dari 5 menit aja udah ngelag/stuck, sering update makin berat.. Aplikasi Ecommerce paling Berat .. Ongkir makin mahal, gratis ongkir sulit, voucher diskon & Live makin ngawur gak bisa dipake.",1,-1
"Naikin komisi Shopee affiliate klo udah naik baru gw kasih bintang 5 bintang 10 klo bisa, dan satu lagi kurangi penggunaan kuota pada aplikasi Shopee, shopee sangat boros menggunakan kuota, serta perbaiki ferporma aplikasi yang sangat lambat/lag.",1,-1
"Aplikasi shopeenya sanggat bagus.. Hanya kecewa sama pengiriman dari spx ekspressnya sudah pakai pengiriman secara standar reguler bukan hemat.. barang datang lama dan juga ya ada pengalaman buruk katanya paketnya hilang, padahal didepan mata sendiri paketnya ada kemudian katanya akan balik ke seller nyatanya gak dong... Gimana tuh ya... Emang si dana itu balik tapi fisiknya dikemanain itu ... Mohon untuk pengiriman melalui shopee ekspres di pertegas lagi agar tidak sembarang retur barang.",4,1
"Awalnya pengiriman shopee bagus sekali pakai jnt, ini udh pakai SPX malah ntah cemna"" paketku, yg dibilang alamat gk jelaslah, nomornya gk aktiflah, ntah apa² padahal bertahun² belanja di shopee pakai jnt aman² aja aku .kurirpun dh kenal semua. Pengirimn juga gk bisa diubah k jnt skrng, harus kali pakai SPX yg gk berguna itu!!! Tolonglah pengirimannya dibuat bagus kyk dulu lagi.",1,-1
"Terlalu banyak fitur yang tidak diperlukan selain untuk jual-beli mengakibatkan banyak bug/eror yang terjadi meskipun kecepatan internet tinggi, yang seharusnya fitur untuk selain jual-beli tersebut dibuatkan aplikasi sendiri agar aplikasi Shopee bisa berjalan dengan lancar dan tidak ada bug/kesalahan-kesalahan lagi!",1,-1
"saya pesan paket tapi kurirnya gk mau ngantar, padahal pake shopee express Terus setiap mau lapor ke customer service nya selalu dibilang kesalahan teknis",1,-1
"masukan buat admin shopee,. untuk menjaga kepercayaan seller,. lebih di saring lagi , bagi yang mengirim barang yang tidak sesuai dengan apa yang di perjualkan, dan satu lagi saya pernah ke poll spx expedisi shopee express liat karyawan sedang menyortir alamat, paket ya di lempar2 ke keranjang,. coba kalau isi ya elektronik toko ya sudah amanah tapi rusak karena di expedisi apa gak kasian,. tolong lebih diperhatikan lagi, biar semua senang,. terima kasih ,. salam sukses selalu 🙏🙏",5,1
Walaupun kadang pengirimannya agak buat naik darah yahh seenggaknya Shopiee memudahkan kami orang daerah untuk belanja barang² murah dan kualitas baik. Terimakasih,4,1
"Apk belanja nya *5, ini titip rating buat ekpedisi Shope Express nya: dgn tarif yg sama, xpdisi sebelah biasanya hari ke3 paket udh diantar, SpX hari ke6 belum ad berita. Paket stag di Pontianak DC sampai 2 malam..? Klo karyawan kewalahan, direkrut lg dong. Percuma jg efisiensi klo layanan cm bintang1. Belanja nya sh enak pkai Shopee, paketnya via Spx jg hanya kejadian krn lupa ubah dari yg tersetting default wktu ngorder.",1,-1
"Untuk aplikasi sudah bagus dan nyaman di gunakan, akan tetapi dari segi pengiriman lama sekali berbeda dengan dulu,,",2,-1
Saya sudah berbelanja di Shopee selama 3 tahun ini alhamdulillah lancar dan Shopee cuma pernah buat saya kecewa 1 kali saja... Bukan sang apk yang salah tapi penjual nya yang tidak amanah... Sukses selalu untuk Shopee dan semua pedagang di Shopee... Dan selalu amanah yaah dalam melayani kami semua hhhi,5,1
"Banyak penjual yg amanah, banyak juga penjual yg tidak amanah. Susah utk di komplain, lebih baik berhati2 dan pilih penjual dengan rating tinggi. Hidup makin komplit dg kebutuhan dlm genggaman tangan dg adanya Shopee",4,1
"Aplikasi gini² amat,,, Mau pembayaran juga susah,,, harus dwonload fitur pembayaran,,, mana lama lagi... Coba lah dii perbaiki biar customer puas.",1,-1
"Shopee emang paling komplit paling murah_terlalu byk tokonya, jadi kadang bingung mau cek out nya. Pesan saya! Shopee harus memperketat kususnya aqun penjual, soalnya masih byk kasus kelalean penjual yg salah kirim barang (ga sesui yg di pesan) trima kasih Shopee Salam Suxes selalu👍",5,1
"Shopee kenapa lemot banget dah heran, mau check out aja lama nya minta ampun, padahal jaringan aman² aja. dari pakai kuota sampai pakai wifi ttep aja lemot.",2,-1
"Sangat membantu,dan selama ini saya juga berlangganan di shoppee jga barang2nya lumayan ,saya sering belanja di shoppee, pokoknya top banget deh",4,1
"Setelah di update malah jadi gak jelas, aku CO 3 produk di 3 toko berbeda tapi statusnya hanya 2 di kemas padahal aturan 3 dong Di sini pembayaran sudah selesai yah dan status barang itu dikemas tapi di notif yang muncul itu hanya 2 barang padahal ada 3",3,0
"Awalnya saya tertarik dengan Cashback yg hanya 10% tp lumayan karna saya transaksi agak besar, setelah saya mendapatkan Cashback nya ternyata tidak bisa di gunakan transaksi secara keseluruhan cuma seperempat dari nilai cashback yg bisa di gunakan, dan untuk apa cashback itu di berikan kalo ternyata tidak bisa di gunakan transaksi pembayaran?",5,1
"Saran kak, tolong adain fitur chat langsung ke yang pengirim barangnya biar kalau ada kesalahan alamat / titik tidak tentu bisa di kirim titik alamat yang benar. Kadang kalau udah kirim alamat benar, tapi titiknya malah bablas ke yang lain, padahal navigasi lokasi udah di aktifkan.",5,1
"Sangat membantu karena kadang mencari ditoko langsung seperti sperpart motor yang kecil sangat sulit jadi shopee sangat membantu dalam pemenuhan kebutuhan tersebut,cuma ada satu masalah yang trus terjadi yaitu kenapa adanya ongkir 2× lipat dari harga barang semoga diperbaiki untuk ongkir tersebut agar sepadan dg jrk kota ke lokasi saya & juga mohon untuk memberikan gratis ongkir yang benar"" gratis ongkir karena sering mengalami voucher gratis ongkir berisi potongan harga tidak mencapai ½nya 🙏🏻",5,1
Kasih bintang 1 karena kurir SPX wilayah Ujung Batu Rokan Hulu Riau tidak profesional! Barang tidak diantar kerumah tapi malah dibalikan! Udah mengajukan pengaduan ke agen shopee tapi tetap mengecewakan! Tolong untuk info kurirnya di perjelas nomor teleponnya seperti tiktok shop! Bisa pembeli hubungi! KOCAK!!!,1,-1
"setiap pesen, barang ok lah👍ori"", tapi ada satu masalah biasanya klo pesen waktu pengirimannya pas cepet sesuai waktu, tapi kok lama"" ngga sesuai dengan prosedur waktunya kadang mundur terus, mohon diperbaiki, udh itu aj Terima ksh.",5,1
"Aplikasi nya sih emang ok, untuk sopi tolong koreksi lagi para seler yg nakal, kalo bisa langsung tutup jgn berjualan di aplikasi ini, kan sayang aplikasi udah bagus,",5,1
"Aplikasi yang mengubah bisnis ku lebih lancar dan semakin untung , di mana harga nya lebih murah selain itu ada cashback dan event menarik nya yang membuat saya semakin semangat berjualan pulsa , paket data , Token listrik , transfer uang , top up e-wallet dll menjadikan bisnis ku semakin untung bersama mitra shopee Bisnis lancar dan untung ya mitra shopee tentu nya sat set transaksi nya Username : andryreynaldi",5,1
"1. Lambatnya ga ngotak. Padahal udah update dan speed internetku aman. Si ijo juga aman 2. Sekalinya udah berhasil masuk, eh voucher yg dipake pas mau pesen malah gabisa dipake dg dalih perubahan. Seriously? Kapok dah pake aplikasi ini",1,-1
disaat sistem di perbaiki. disaat itu lah expedisi shopee selalu mengalami keterlambatan.. jadi apa yang salah saat ini..!!!,4,1
"baru kali ini dapat pengiriman yang lama bangat,,ngak kayak biasa kalau belanja cepat pengiriman nya,,tolong di perbaiki expedisi nya,,sangat mengecewakan pelanggan",3,0
"Sementara bintang dua jika memuaskan nanti saya tambah bintang nya,Sebagai pelanggan setia Shopee tentu sangat mengecewakan Spylater saya di bekukan padahal pembayaran tuntas dan bagus,Donwload SEABANK pun terasah percuma terpikir mau Uninstal",2,-1
pernah terjadi membatalkan pesanan tidak diterima toko ini hal buruk. karena aku salah pesan cukup satu tapi klik dua aku membatalkan yg satu .tapi tidak mau. mohon warning dari shoopy. dalam rangka melindungi konsumen . trima kadih,4,1
agak susah kalo Uplod video. sering stuck di angka 95%. itupu. gagal. tolong dlu developer.. ini juga menyusahkan kita utk bukti Unbox pesanan. gak ada bukti video unbox klaim gak berlaku. atas perhatiannya terimakasih,4,1
"1). Aplikasi sangat berat, masak iya sampai Snapdragon 845-870 masih ngos²an kadang ngelag parah... 2). Shopee Express sering lemot bgt kinerjanya, padahal bukan paket hemat loh, tertahan di DC smp lebih dari 2 hari, mutar² kacauw",1,-1
Sebetulnya aplikasi nya lumayan bagus tapi pas mau ganti no handphone sama email di persulit dan ketika mau checkout selalu gagal padahal jaringan nya bagus,3,0
"saran sediain ruang sendiri buat shopee affiliate dong, susah buat cari2 harus scroll ke bawah dulu. Dan kalo bisa waktu pengantaran kasih tau kurirnya sampe mana, kadang stuck di 1 tempat gitu. selain itu gak ada lagi terimakasih shopee",5,1
"Kalo bisa fitur refund dana nya di percepatlah , ini di suruh nunggu smpe tnggl 4 agustus , mana udh tf , penjual nya di chat bls nya pke bot , rugi banget g di tanggepin sama sekali , ini nama toko nya tolong di ksih tau bls chat!!! @hoki.chichi.shops",1,-1
"Paling senang kalo udah ada gratis ongkir, tapi sekarang agk susah. Semoga kedepan bisa lebih dipertimbangkan lg gratis + bonus²nya 👍👍 Dan juga masalah pengiriman paket yg kadang lama (entah dr sellernya atau kurirnya) tolong untuk diperhatikan & diperbaiki, supaya bisa lebih bersaing.",4,1
saya sangat puas belanja di shopee barang yang kita inginkan selalu ada apa lagi di kalimantan harga2 disini sama di shopee jauh lebih murah di shopee yah walaupun agak lama menunggu tapi gak jadi masalah👍🏼🔥,5,1
"Untuk ekspedisi shoppe express mendingan di tutup aja deh, terlalu banyak masalah dan merugikan customer. Bukan hanya sekali tapi udah berkali kali barang di return terus, udah lama di tunggu malah di return . Aduuh parah bener",1,-1
"Belanja di Shopee Puas banget, Toko dan jasa pengirimannya amanah,menghargai dan santun pd Pelanggan. Yang Puasnya lagi kalau lihat Aplikasinya, semua pelayanan dibikin mudah buat para Pelanggannya. Ada Gamenya juga yg buat makin seru. Congrats Shoppe, smg kedepannya makin keren lagi baik penampilan, pelayanan dan bagi bagi bonusnya diperbanyak yaa...biar makin Berkah. Aamiin.",5,1
Shopee ini biasanya kalau belanja ada total belanjaannya ..sekarang tidak ada.jadi kalau kurir dtang susah liat total harganya..tolong di perbaikin lagi,4,1
heran deh sekarang shope malah kalah sama apk lain nya shope pengiriman bisa lebih dari 7 hari lebih dari estimasinya kecewa berat sih sebagai pelanggan jadi lebih milih apk lain deh belanja nya nanti mah,1,-1
"Maaf saya kasih 🌟 3 dulu ya, soalnya aplikasi shopeenya lemot banget enggak seperti dulu, saya mau buka aplikasinya disitu tertera Ups maaf aplikasi ini sedang dalam perbaikan maksudnya apa, tolong dong diperbaiki yg bagus seperti dulu lagi....",5,1
"Tolong dong kalau ada toko lama kemasnya (gk dikirim) sampai batas waktu, di sansi atau tegur saya kalau beli gtu mulu lama dikirim nya bukan di ekspedisi nya. Kaya gk niat jualan",1,-1
"Terdapat bug, pentungan dikemas namun ketika dibuka sudah tidak ada begitu jg sebaliknya pentungan status dikirim tidak ada namun ketika dibuka ada dalam pengiriman",1,-1
"Belanja di Shopee sekarang mahal, banyak banget biaya tambahan, biaya layanan, penanganan, mending belanja di e-commerce sebelah yg lebih murah, ini make shopeepay aja biaya layanan mahal bgt, malah murahan cod, agak lucu bgt sekarang",1,-1
"sangat membantu sekali aplikasi ini,,,semoga kedepannya bisa lebih baik dan banyak digunakan banyak keluarga!!!terima kasih sudah sangat membantu untuk berbelanja kaum emak - emak jaman now",4,1
